#id,type,P,uA,u0,uT,gA,g0,gT,rA,r0,rT,iA,i0,iT,zA,z0,zT
2021875,ab,0.476303326318,1.302794202378,18.414961393744,110,1.300077686505,17.255463810057,119,0.998565083706,17.434725475085,118,0.785308964468,17.559070339254,115,0.735985299638,17.645018123764,117
2022233,ab,0.502488964174,1.417609756693,17.859432011174,105,1.450173964651,16.725190683994,109,1.02460267673,16.905912603981,118,0.83995765257,17.053253748472,118,0.731057888396,17.105478548252,117
2084718,ab,0.49311280321,1.28901933481,18.231081853203,110,1.31919947967,17.073040803152,109,0.934246994235,17.254422423671,118,0.765198457588,17.391772540181,114,0.723035286882,17.425660685046,116
2089796,ab,0.533638840049,1.185135870601,18.578786806765,105,1.179088156664,17.422363888396,117,0.855874554426,17.543979867758,111,0.689638152031,17.660507789236,112,0.616997757975,17.709074186212,113
2105056,c,0.313306631024,0.605912202641,21.330771557295,0,0.743007067936,20.225588647663,1,0.51399401331,20.338594503924,1,0.429508458448,20.446271124345,0,0.271311004894,20.446758090808,0
2105372,ab,0.649103986993,0.934837840913,18.817093996808,104,1.009045358717,17.65342075228,106,0.714427628948,17.678479124829,108,0.572129560262,17.737375121823,108,0.489916759939,17.774605534949,101
2108339,ab,0.615069304616,0.759707054636,18.903545616758,102,0.883278590704,17.694942338589,110,0.654371449629,17.69245395672,109,0.502667788318,17.746615345495,111,0.476428228755,17.758523100561,106
2139649,ab,0.630075666593,0.463794381197,18.752113941627,100,0.539796579459,17.578376346567,102,0.376047147204,17.542603474371,100,0.284367943075,17.509610136383,100,0.292608037455,17.496776624494,104
2150854,ab,0.580196017269,0.87160257664,17.513827741159,110,0.905022679677,16.419243863418,107,0.650965864604,16.457135648713,110,0.504244174644,16.508272681073,107,0.489053095071,16.529557971066,109
2155005,ab,0.601093225883,0.77093068221,16.673976523559,105,0.776969255618,15.482417516889,103,0.571271656792,15.449128342049,107,0.419343978899,15.482286086073,107,0.370625073868,15.539324396706,100
2157016,ab,0.551395621633,1.368157201325,15.43420979392,103,1.386757274464,14.213730809556,110,1.025049742829,14.327639639634,116,0.858356523723,14.480668254883,118,0.734330640551,14.581833131401,115
2158989,ab,0.71883653049,0.819256673974,16.754754995216,105,0.848874029481,15.649388078923,105,0.627449647132,15.632739111041,106,0.498516127571,15.614715669775,115,0.468367364325,15.689840051429,105
2175525,c,0.397691050696,0.411978154717,16.678498567269,0,0.457324092834,15.522638434506,0,0.324663775551,15.540647992659,0,0.249002468651,15.597245222009,0,0.208105872863,15.653648885663,0
2187058,ab,0.594659211213,0.87373908309,19.529478315105,107,1.004502381407,18.319333669613,114,0.721301999137,18.35236806906,119,0.55178819222,18.417950971524,115,0.544255908069,18.463614620704,113
2198610,ab,0.501085915722,1.481422798695,18.629858922484,105,1.433914459237,17.555849993884,109,0.990842328915,17.722330847269,116,0.778186768722,17.880958762048,115,0.694671457686,17.983394419163,117
2212327,ab,0.480682760765,1.400937855629,14.212169051935,109,1.162904728117,13.196343776699,102,1.006446979901,13.203037859195,111,0.882250385003,13.275157368017,113,0.756271141891,13.391832885163,117
2213142,c,0.301762819457,0.430319596923,17.081465126232,0,0.49958205019,15.84851178473,0,0.365652698221,15.945595927041,1,0.279647565042,16.048619657766,1,0.241508209703,16.122495342709,0
2222649,ab,0.614298415366,0.620613264454,17.633071451234,109,0.639447703038,16.506618615266,108,0.435730336881,16.447734702981,108,0.325546460186,16.481605207032,104,0.310388105152,16.48559174916,100
2226631,ab,0.639547636583,1.132687969954,18.120646823413,101,1.077994985343,17.03755428609,100,0.91756833751,17.000387036014,112,0.623814915467,17.160741623261,100,0.615358209515,17.168989567006,102
2226946,ab,0.568736495924,0.91706484636,15.624218455653,109,0.994032544089,14.455720563022,118,0.703232442133,14.53935754262,109,0.569374110962,14.596737382812,114,0.500720001837,14.668916346449,106
2230438,ab,0.561556700406,1.084084044982,17.236852131373,105,1.137626152954,16.080401436841,111,0.809838069571,16.154530370005,112,0.625626170429,16.255226005816,110,0.54639967582,16.327961366788,104
2233809,c,0.290364294151,0.532173037725,18.127776526861,0,0.612617912881,16.944317736602,1,0.41710970398,17.076329275823,1,0.32893682537,17.173657438378,1,0.287981183277,17.254470224884,0
2248073,ab,0.622378292302,0.846335291089,19.615104785938,101,0.948104457083,18.409277351262,114,0.711792285473,18.418615167921,113,0.56502831147,18.467707964547,113,0.474966294309,18.509064284264,117
2278841,ab,0.51705657229,0.96721981377,18.724926498086,103,1.079907385544,17.54732038718,107,0.771999370873,17.656130796707,106,0.595134321877,17.765967676546,107,0.538003727471,17.795143754066,116
2279091,ab,0.630271960518,1.256905732012,15.044585439241,109,1.316285874631,13.810561405075,112,0.94025159945,13.984312872161,108,0.76540768974,14.073981672567,109,0.691803898208,14.118587136716,114
2291937,c,0.387939302184,0.456214792373,18.87594097036,0,0.513507495889,17.763947840537,0,0.357299303065,17.762958095511,1,0.291094436931,17.782634704484,1,0.252891968873,17.827750675352,0
2297800,ab,0.522215335892,0.964942386384,16.238773689952,101,0.997167559306,15.067426792661,103,0.699946921789,15.147402590629,103,0.558210068159,15.230688456214,103,0.557245041505,15.256489278142,107
2308042,c,0.41647157957,0.414425709835,15.294719114141,0,0.380675894664,14.128969179602,1,0.274874488031,13.934995531445,1,0.212230547277,13.884491058161,1,0.19415634207,13.887270416755,0
2313959,ab,0.712152910794,0.777235044405,16.636989545241,101,0.796142299926,15.426946615371,101,0.596140334935,15.382085466147,108,0.459689138467,15.441557020202,104,0.420021294074,15.479271175046,105
